,date,year,stage,home_team,away_team,home_score,away_score,outcome,winner,decided_by_shootout,is_host_match,neutral,city,country,home_team_rank,away_team_rank
305,2010-07-07,2010,knockout,Germany,Spain,0,1,away_win,Spain,False,False,True,Durban,South Africa,6,2
306,2010-07-10,2010,knockout,Uruguay,Germany,2,3,away_win,Germany,False,False,True,Port Elizabeth,South Africa,16,6
307,2010-07-11,2010,knockout,Netherlands,Spain,0,1,away_win,Spain,False,False,True,Johannesburg,South Africa,4,2
308,2014-06-12,2014,group,Brazil,Croatia,3,1,home_win,Brazil,False,True,False,São Paulo,Brazil,3,18
309,2014-06-13,2014,group,Chile,Australia,3,1,home_win,Chile,False,False,True,Cuiabá,Brazil,14,62
310,2014-06-13,2014,group,Mexico,Cameroon,1,0,home_win,Mexico,False,False,True,Natal,Brazil,20,56
311,2014-06-13,2014,group,Spain,Netherlands,1,5,away_win,Netherlands,False,False,True,Salvador,Brazil,1,15
312,2014-06-14,2014,group,Colombia,Greece,3,0,home_win,Colombia,False,False,True,Belo Horizonte,Brazil,8,12
313,2014-06-14,2014,group,England,Italy,1,2,away_win,Italy,False,False,True,Manaus,Brazil,10,9
314,2014-06-14,2014,group,Ivory Coast,Japan,2,1,home_win,Ivory Coast,False,False,True,Recife,Brazil,23,46
315,2014-06-14,2014,group,Uruguay,Costa Rica,1,3,away_win,Costa Rica,False,False,True,Fortaleza,Brazil,7,28
316,2014-06-15,2014,group,Argentina,Bosnia and Herzegovina,2,1,home_win,Argentina,False,False,True,Rio de Janeiro,Brazil,5,21
317,2014-06-15,2014,group,France,Honduras,3,0,home_win,France,False,False,True,Porto Alegre,Brazil,17,33
318,2014-06-15,2014,group,Switzerland,Ecuador,2,1,home_win,Switzerland,False,False,True,Brasília,Brazil,6,26
319,2014-06-16,2014,group,Germany,Portugal,4,0,home_win,Germany,False,False,True,Salvador,Brazil,2,4
320,2014-06-16,2014,group,Ghana,United States,1,2,away_win,United States,False,False,True,Natal,Brazil,37,13
321,2014-06-16,2014,group,Iran,Nigeria,0,0,draw,,False,False,True,Curitiba,Brazil,43,44
322,2014-06-17,2014,group,Belgium,Algeria,2,1,home_win,Belgium,False,False,True,Belo Horizonte,Brazil,11,22
323,2014-06-17,2014,group,Brazil,Mexico,0,0,draw,,False,True,False,Fortaleza,Brazil,3,20
324,2014-06-17,2014,group,Russia,South Korea,1,1,draw,,False,False,True,Cuiabá,Brazil,19,57
325,2014-06-18,2014,group,Australia,Netherlands,2,3,away_win,Netherlands,False,False,True,Curitiba,Brazil,62,15
326,2014-06-18,2014,group,Cameroon,Croatia,0,4,away_win,Croatia,False,False,True,Manaus,Brazil,56,18
327,2014-06-18,2014,group,Spain,Chile,0,2,away_win,Chile,False,False,True,Rio de Janeiro,Brazil,1,14
328,2014-06-19,2014,group,Colombia,Ivory Coast,2,1,home_win,Colombia,False,False,True,Brasília,Brazil,8,23
